month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us
202011,94801,"richmond, ca",4554,7595,539,-814,41.191138,31.38489209,50.99738391,67.5,0.125,7.5,0.1638,9.5,10,0.016,1.1525,1.041,496049.5,0.0333,-0.0815,1.4242
202011,94612,"oakland, ca",4341,7179,-63,,43.917593,83.92740353,3.907782865,37,0.2333,7,0,0,-20.5,-0.1282,-0.6047,0.2787,816300,0.112,0.1259,2.3438
202011,94602,"oakland, ca",2916,5290,-2574,-4293,55.375245,76.62688031,34.1236102,40.5,0.4464,12.5,0.1571,5.5,-17,-0.331,-0.03,0.7951,899050,0,0.11,2.5814
202011,94598,"walnut creek, ca",3784,243,780,-79,94.510301,92.73217789,96.28842381,31,-0.0313,-1,-0.1842,-7,-26.5,0.2823,0.6392,2.6066,1237550,0.0761,0.1797,3.5534
202011,94609,"oakland, ca",4363,7295,-2643,-4815,43.132767,60.75866579,25.50686723,48,1,24,0.7143,20,-9.5,-0.0934,0.1786,0.6762,947050,-0.0317,0.2219,2.7192
202011,94708,"berkeley, ca",8358,2488,-1131,-2196,73.557063,80.8616743,66.25245258,38.5,0.75,16.5,0.0405,1.5,-19,-0.1264,0.1197,1.3033,1446550,-0.0017,0.117,4.1535
202011,94506,"danville, ca",5208,1664,-568,-367,79.921517,72.42478744,87.41824722,42.5,0.2879,9.5,-0.1327,-6.5,-15,-0.0589,0.9132,1.8975,2099550,0.0524,0.2302,6.0285
202011,94566,"pleasanton, ca",1308,1055,231,-55,85.125082,89.13505559,81.11510791,34,0,0,-0.2093,-9,-23.5,-0.1362,0.7807,1.6639,1210025,-0.0692,-0.1363,3.4743
202011,94028,"portola valley, ca",11414,6255,878,5288,49.758829,76.62688031,22.89077829,40.5,-0.0122,-0.5,-0.4214,-29.5,-17,-0.0824,1.4375,0.6393,4124550,-0.0175,-0.0061,11.8432
202011,94513,"brentwood, ca",584,1457,665,343,81.589274,75.64584696,87.53270111,41,-0.0238,-1,-0.18,-9,-16.5,-0.083,1.1682,1.9016,737025,-0.0172,0.0854,2.1162
202011,94610,"oakland, ca",1626,5990,-1087,-3602,51.308044,76.62688031,25.98920863,40.5,0.5,13.5,0.1571,5.5,-17,-0.0568,0.1216,0.6803,743994,0.0205,-0.3168,2.1362
202011,94596,"walnut creek, ca",4700,6855,-251,-3461,46.030903,54.53727927,37.52452583,51,0.2143,9,0,0,-6.5,0.0149,0.2654,0.8402,650050,0.045,-0.277,1.8664
202011,95129,"san jose, ca",1950,6312,182,3528,49.41138,92.73217789,6.09058208,31,0.069,2,-0.5694,-41,-26.5,-0.2589,-0.1863,0.3402,1348550,-0.0361,0.6249,3.8721
202011,94043,"mountain view, ca",2380,6417,951,2421,48.859549,93.32079791,4.398299542,30.5,-0.0758,-2.5,-0.4741,-27.5,-27,-0.1341,-0.1744,0.291,1536550,-0.0138,0.0622,4.4119
202011,94553,"martinez, ca",700,285,-84,173,94.032047,91.63669065,96.42740353,32,0.3333,8,-0.2727,-12,-25.5,-0.0817,0.9424,2.627,649938,-0.0622,0.1401,1.8661
202011,94580,"san lorenzo, ca",4927,1068,-298,69,85.022891,93.97482014,76.07096141,30,0.0345,1,-0.2308,-9,-27.5,-0.259,0.8235,1.5246,731550,0.0161,0.0048,2.1004
202011,94306,"palo alto, ca",3515,6123,-437,-3440,50.429202,84.89208633,15.96631785,36.5,0.3519,9.5,-0.1512,-6.5,-21,-0.0714,-0.1667,0.5328,2649550,-0.0187,-0.1154,7.6078
202011,94526,"danville, ca",2987,420,19,-102,91.82881,91.12164814,92.53597122,32.5,0.2037,5.5,-0.2262,-9.5,-25,-0.0325,0.5314,2.1967,1355050,0.0423,0.0627,3.8908
202011,94601,"oakland, ca",1526,4999,2217,-110,57.206508,88.36657946,26.04643558,34.5,-0.1977,-8.5,-0.2959,-14.5,-23,-0.0978,0.3387,0.6803,599050,-0.0016,0,1.72
202011,94040,"mountain view, ca",1859,6425,1261,-1224,48.810497,92.19260955,5.428384565,31.5,-0.1,-3.5,-0.125,-4.5,-26,-0.0595,-0.1771,0.3238,1487050,-0.0982,-0.1278,4.2698
202011,94621,"oakland, ca",4713,6030,-304,-4430,51.001472,70.52812296,31.47482014,43.5,0.0116,0.5,-0.0114,-0.5,-14,-0.26,-0.0561,0.7582,465050,0.0131,0.0332,1.3352
202011,94561,"oakley, ca",2505,1227,531,-271,83.498201,77.6324395,89.36396337,40,-0.0244,-1,-0.1111,-5,-17.5,-0.0996,0.9677,2,612475,0.0398,0.158,1.7585
202011,94705,"berkeley, ca",7574,7121,-2242,-3839,44.301831,48.4793983,40.12426422,54.5,0.473,17.5,-0.1484,-9.5,-3,-0.1189,-0.089,0.8811,1867550,-0.0145,0.0375,5.3624
202011,94611,"oakland, ca",894,3278,-666,-2177,68.038751,87.43459778,48.64290386,35,0.2963,8,-0.2045,-9,-22.5,-0.1493,0.0746,1.0041,1199550,0.0439,0.2639,3.4443
202011,94703,"berkeley, ca",4811,4806,-900,,58.391923,82.15336821,34.63047744,38,0.4074,11,0.4074,11,-19.5,-0.125,-0.3677,0.8033,1048050,0.1043,0.1032,3.0092
202011,94582,"san ramon, ca",2023,1377,32,766,82.198332,93.97482014,70.42184434,30,0,0,-0.3333,-15,-27.5,-0.1748,0.9101,1.3934,974550,-0.0719,-0.1804,2.7982
202011,94565,"pittsburg, ca",75,1781,-1075,-976,78.956835,77.6324395,80.28122956,40,0.2903,9,0.0526,2,-17.5,-0.2806,0.8182,1.6393,517925,0.0378,0.1021,1.487
202011,94507,"alamo, ca",7738,2556,46,2049,73.091073,60.75866579,85.4234794,48,0.0909,4,-0.3924,-31,-9.5,-0.0847,0.6407,1.8156,2350049.5,-0.0408,0.1201,6.7478
202011,95050,"santa clara, ca",1758,7548,-670,-2815,41.497711,71.52550687,11.46991498,43,0.2286,8,-0.0227,-1,-14.5,-0.1912,-0.0517,0.4508,1228938,0.1174,-0.0362,3.5287
202011,94806,"san pablo, ca",573,615,242,108,89.445716,92.19260955,86.69882276,31.5,0.5,10.5,-0.1486,-5.5,-26,0.099,1.0495,1.8648,499525,-0.0576,0.1112,1.4342
202011,94523,"pleasant hill, ca",2019,817,-217,-234,87.463211,87.43459778,87.49182472,35,0.6667,14,-0.2391,-11,-22.5,0.0175,0.3567,1.9016,789050,0,0.052,2.2655
202011,94618,"oakland, ca",6117,5765,-1607,-3600,52.513898,82.15336821,22.87442773,38,0.7273,16,0.027,1,-19.5,-0.22,-0.0127,0.6393,1214050,0.0159,0.0566,3.4859
202011,94568,"dublin, ca",1043,1350,-496,-258,82.447678,89.13505559,75.76030085,34,0.4167,10,-0.2917,-14,-23.5,-0.1537,0.4643,1.5123,993520,0.104,0.1163,2.8527
202011,94531,"antioch, ca",2632,408,232,1207,92.065893,92.73217789,91.39960759,31,0,0,-0.3261,-15,-26.5,-0.1038,1.5392,2.123,610545,0.0365,0.1305,1.753
202011,94542,"hayward, ca",8408,435,,361,91.665304,95.26651406,88.06409418,28.5,-0.0806,-2.5,-0.3936,-18.5,-29,-0.108,0.6469,1.9303,999050,0.0311,0.001,2.8685
202011,94301,"palo alto, ca",5849,9434,240,-3120,27.881785,39.06147809,16.70209287,61,0.1961,10,-0.0469,-3,3.5,0.2,-0.0704,0.541,4595050,0.0954,0.0814,13.1942
202010,94580,"san lorenzo, ca",4927,770,730,3861,87.524512,88.9638403,86.08518315,29,-0.0645,-2,-0.5397,-34,-24,0.1082,1.5226,1.8456,719938,0.014,0.002,2.0574
202010,94523,"pleasant hill, ca",2019,600,393,-323,89.363872,96.94093654,81.78680681,21,-0.2364,-6.5,-0.3824,-13,-32,-0.0769,0.4951,1.6765,789050,-0.0312,0.0706,2.2549
202010,94583,"san ramon, ca",2435,274,571,858,93.779904,96.01537375,91.54443486,22,-0.3125,-10,-0.4133,-15.5,-31,-0.0525,1.6514,2.125,729950,-0.0865,-0.2683,2.086
202010,94520,"concord, ca",2603,284,365,-158,93.630873,96.01537375,91.24637226,22,-0.2414,-7,-0.3016,-9.5,-31,-0.0699,0.5845,2.1029,546050,-0.0197,0.2297,1.5604
202010,94549,"lafayette, ca",3882,1642,-759,271,80.170994,93.35634167,66.98564593,25,-0.0909,-2.5,-0.505,-25.5,-28,-0.3218,0.4048,1.3015,2089050,-0.0038,0.1606,5.9703
202010,95128,"san jose, ca",2246,7124,-558,37,45.936936,77.05702408,14.81684838,36,0.0141,0.5,-0.3208,-17,-17,-0.1707,0.193,0.5,1098050,-0.013,0.0778,3.138
202010,95054,"santa clara, ca",4894,8586,-430,-138,36.669543,66.07577065,7.26331477,42,0.0909,3.5,-0.25,-14,-11,-0.02,-0.0485,0.3603,798050,-0.0601,-0.3782,2.2807
202010,95051,"santa clara, ca",416,6966,-31,-2948,46.838968,84.75958899,8.918346537,32,0.0492,1.5,0.0159,0.5,-21,0.0192,-0.1167,0.3897,1378050,0.1315,0.1499,3.9383
202010,94607,"oakland, ca",3432,8326,401,-5195,38.281434,68.73480273,7.828064946,41,-0.0353,-1.5,0.4138,12,-12,-0.0476,-0.2537,0.3676,690050,-0.0638,0.0298,1.972
202010,94531,"antioch, ca",2632,640,-156,578,88.885403,86.18715193,91.58365362,31,0.2157,5.5,-0.0746,-2.5,-22,-0.0617,1.9192,2.125,589050,-0.0175,0.0818,1.6833
202010,94577,"san leandro, ca",943,1126,-512,-874,84.273276,83.88108871,84.66546396,33,0.6923,13.5,0.0476,1.5,-20,-0.0618,0.6817,1.7868,739050,0.0336,0.0572,2.112
