SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-15-2020,Multi-Family (2-4 Unit),3553 Chestnut Ave,Concord,CA,94519-2470,845000,6,2.4,Concord,2375,11200,1979,141,356,,Sold,,,http://www.redfin.com/CA/Concord/3553-Chestnut-Ave-94519/home/692112,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40907970,N,Y,37.9719384,-122.0106859
PAST SALE,November-9-2020,Single Family Residential,1650 Farm Bureau Rd,Concord,CA,94519,685000,4,2,Concord,1584,10350,1975,24,432,,Sold,,,http://www.redfin.com/CA/Concord/1650-Farm-Bureau-Rd-94519/home/1770229,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922874,N,Y,37.9731139,-122.0071771
PAST SALE,June-18-2020,Single Family Residential,1579 West,Concord,CA,94521,759000,4,3.5,Walnut Lands,2125,14810,1952,168,357,,Sold,,,http://www.redfin.com/CA/Concord/1579-West-St-94521/home/1180715,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40899058,N,Y,37.9706912,-121.9994486
PAST SALE,October-21-2020,Single Family Residential,2401 Jerilynn Dr,Concord,CA,94519,614000,3,2,Holbrook Heights,1416,6030,1955,43,434,27,Sold,,,http://www.redfin.com/CA/Concord/2401-Jerilynn-Dr-94519/home/1797003,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40918033,N,Y,37.9860044,-122.0289829
PAST SALE,October-1-2020,Single Family Residential,3109 Fitzpatrick Dr,Concord,CA,94519,485000,3,2,Holbrook Heights,1108,6030,1954,63,438,27,Sold,,,http://www.redfin.com/CA/Concord/3109-Fitzpatrick-Dr-94519/home/686427,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40918540,N,Y,37.9865574,-122.0302263
PAST SALE,September-25-2020,Single Family Residential,3149 Hacienda Dr,Concord,CA,94519,615000,3,2,Maravilla,1016,5500,1950,69,605,,Sold,,,http://www.redfin.com/CA/Concord/3149-Hacienda-Dr-94519/home/686900,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40913176,N,Y,37.9860614,-122.0235207
PAST SALE,October-27-2020,Single Family Residential,1950 Encima Dr,Concord,CA,94519,681000,3,2,Maravilla,1160,9280,1952,37,587,,Sold,,,http://www.redfin.com/CA/Concord/1950-Encima-Dr-94519/home/1392234,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921532,N,Y,37.9829427,-122.0216556
PAST SALE,November-5-2020,Single Family Residential,2344 Almond Ave,Concord,CA,94520-2094,340000,2,1,Concord,1040,5000,1935,28,327,,Sold,,,http://www.redfin.com/CA/Concord/2344-Almond-Ave-94520/home/690735,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40928127,N,Y,37.9813143,-122.0336455
PAST SALE,August-28-2020,Single Family Residential,2850 La Salle Ave,Concord,CA,94520,510000,3,1,Manor Crest,998,5600,1951,97,511,,Sold,,,http://www.redfin.com/CA/Concord/2850-La-Salle-Ave-94520/home/1728653,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40913621,N,Y,37.9930468,-122.0455008
PAST SALE,July-17-2020,Single Family Residential,4059 Wilson Ln,Concord,CA,94521,888000,5,2.5,Concord,2257,25700,1991,139,393,,Sold,,,http://www.redfin.com/CA/Concord/4059-Wilson-Ln-94521/home/1911569,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40908319,N,Y,37.9738851,-121.9929633
PAST SALE,November-13-2020,Single Family Residential,1069 Saint Francis Dr,Concord,CA,94518,953000,4,2.5,Concord Estates,2560,40050,1976,20,372,,Sold,,,http://www.redfin.com/CA/Concord/1069-St-Francis-Dr-94518/home/1427155,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924364,N,Y,37.9574722,-122.0167704
PAST SALE,July-17-2020,Single Family Residential,634 Ambience Way,Danville,CA,94506,1640000,5,4.5,Danville,3748,5610,2001,139,438,105,Sold,,,http://www.redfin.com/CA/Danville/634-Ambience-Way-94506/home/1211238,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40907078,N,Y,37.8061887,-121.9258668
PAST SALE,October-29-2020,Single Family Residential,2140 Hidden Oak Dr,Danville,CA,94506,2000000,5,3,Danville,3158,30800,1979,35,633,285,Sold,,,http://www.redfin.com/CA/Danville/2140-Hidden-Oak-Dr-94506/home/1791684,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40920662,N,Y,37.8299827,-121.9365117
PAST SALE,November-25-2020,Single Family Residential,57 Betten Ct,Danville,CA,94526,1624000,4,3,Danville,2791,13386,1970,8,582,,Sold,,,http://www.redfin.com/CA/Danville/57-Betten-Ct-94526/home/907689,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921725,N,Y,37.8287709,-121.9896538
PAST SALE,July-13-2020,Single Family Residential,247 Stetson Dr,Danville,CA,94506,1276000,5,3,Tassajara Ridge,2349,4800,1995,143,543,84,Sold,,,http://www.redfin.com/CA/Danville/247-Stetson-Dr-94506/home/719102,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40907273,N,Y,37.7926658,-121.9180881
PAST SALE,July-15-2020,Townhouse,303 W Meadows Ln,Danville,CA,94506,867500,3,2.5,Heritage Park,1884,1960,1995,141,460,310,Sold,,,http://www.redfin.com/CA/Danville/303-W-Meadows-Ln-94506/home/996569,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904045,N,Y,37.7971379,-121.923582
PAST SALE,September-18-2020,Townhouse,558 Sycamore Cir,Danville,CA,94526-4239,585000,2,1.5,Danville Woods,1148,1148,1972,76,510,455,Sold,,,http://www.redfin.com/CA/Danville/558-Sycamore-Cir-94526/home/1761293,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40916985,N,Y,37.806959,-121.988341
PAST SALE,September-15-2020,Townhouse,208 Channi Loop,Danville,CA,94506,855000,4,3,Alamo Creek,1937,2410,2007,79,441,145,Sold,,,http://www.redfin.com/CA/Danville/208-Channi-Loop-94506/home/17167628,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40915011,N,Y,37.79864,-121.884574
PAST SALE,November-5-2020,Single Family Residential,2265 Tahiti Dr,San Ramon,CA,94582,1260000,4,2,Country View,2271,13000,1979,28,555,45,Sold,,,http://www.redfin.com/CA/San-Ramon/2265-Tahiti-Dr-94582/home/1696442,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40920857,N,Y,37.7834649,-121.9564874
PAST SALE,November-10-2020,Single Family Residential,56 Pulido Ct,Danville,CA,94526,1430000,4,2.5,Danville,2890,12000,1973,23,495,,Sold,,,http://www.redfin.com/CA/Danville/56-Pulido-Ct-94526/home/907238,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921236,N,Y,37.8431468,-121.9764151
PAST SALE,December-2-2020,Single Family Residential,1131 Cheshire Cir,Danville,CA,94506,1500000,4,3,Bettencourt Rnch,3464,6900,1995,1,433,225,Sold,,,http://www.redfin.com/CA/Danville/1131-Cheshire-Cir-94506/home/1431364,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40925113,N,Y,37.8037241,-121.9022845
PAST SALE,November-6-2020,Single Family Residential,16 Rima Ct,Danville,CA,94526,2140000,5,4.5,Hidden Valley,3955,13890,1993,27,541,180,Sold,,,http://www.redfin.com/CA/Danville/16-Rima-Ct-94526/home/920851,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923351,N,Y,37.8287878,-121.9767706
PAST SALE,November-9-2020,Single Family Residential,153 Valle Vis,Danville,CA,94526,1775000,5,4.5,Danville,3792,13840,1951,24,468,,Sold,,,http://www.redfin.com/CA/Danville/153-Valle-Vis-94526/home/1869526,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924900,N,Y,37.8418598,-121.9717279
PAST SALE,December-3-2020,Single Family Residential,41 Savona Ct,Danville,CA,94526,2020000,5,3,Hidden Valley,3120,11370,1995,1,647,170,Sold,,,http://www.redfin.com/CA/Danville/41-Savona-Ct-94526/home/920866,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40927375,N,Y,37.8272656,-121.975882
PAST SALE,June-8-2020,Single Family Residential,300 Bridgeside Cir,Danville,CA,94506,935000,4,3,Meadow Creek,1744,3850,1989,178,536,257,Sold,,,http://www.redfin.com/CA/Danville/300-Bridgeside-Cir-94506/home/1412481,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40902602,N,Y,37.803855,-121.943518
PAST SALE,December-2-2020,Single Family Residential,25 Blue Haven Ct,Danville,CA,94506,1526000,4,3,Bettencourt Rnch,2917,7200,1994,1,523,225,Sold,,,http://www.redfin.com/CA/Danville/25-Blue-Haven-Ct-94506/home/1219363,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40930832,N,Y,37.804111,-121.9039739
PAST SALE,October-21-2020,Single Family Residential,204 Joaquin Dr,Danville,CA,94526,950000,3,2.5,Danville South,1470,5250,1972,43,646,25,Sold,,,http://www.redfin.com/CA/Danville/204-Joaquin-Dr-94526/home/1904552,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921126,N,Y,37.7895464,-121.976994
PAST SALE,June-17-2020,Single Family Residential,951 Ocho Rios Dr,Danville,CA,94526,1413750,5,2.5,Westside Danvill,2282,13775,1958,169,620,,Sold,,,http://www.redfin.com/CA/Danville/951-Ocho-Rios-Dr-94526/home/1914607,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40900642,N,Y,37.8063284,-121.9942737
PAST SALE,June-26-2020,Single Family Residential,2745 Mossy Oak Dr,Danville,CA,94506,1880000,5,3.5,Hidden Oaks,4003,26219,1979,160,470,268,Sold,,,http://www.redfin.com/CA/Danville/2745-Mossy-Oak-Dr-94506/home/1888637,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40902773,N,Y,37.8304289,-121.9320672
