SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-28-2020,Single Family Residential,246 Arency Ct,Danville,CA,94506,1950000,4,3,Danville,3103,17750,1985,66,628,,Sold,,,http://www.redfin.com/CA/Danville/246-Arency-Ct-94506/home/967901,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40918580,N,Y,37.827976,-121.9451335
PAST SALE,August-7-2020,Single Family Residential,911 El Pintado Rd,Danville,CA,94526,1675000,4,4,El Pintado,3879,55321,1986,118,432,,Sold,,,http://www.redfin.com/CA/Danville/911-El-Pintado-Rd-94526/home/914163,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40908065,N,Y,37.8371646,-122.0087538
PAST SALE,,Single Family Residential,3012 Live Oak Ct,Danville,CA,94506,372000,3,3,,2729,5750,1981,,136,,,,,http://www.redfin.com/CA/Danville/3012-Live-Oak-Ct-94506/home/1877959,,,N,Y,37.8241299,-121.9197328
PAST SALE,November-25-2020,Single Family Residential,2 CREEKLEDGE Ct,Danville,CA,94506,2100000,5,4.5,Danville,4551,22000,1988,8,461,,Sold,,,http://www.redfin.com/CA/Danville/2-Creekledge-Ct-94506/home/963951,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40918895,N,Y,37.8316169,-121.9525992
PAST SALE,August-11-2020,Single Family Residential,359 Verona Ave,Danville,CA,94526,1895000,4,3,Westside Danvill,2896,13860,1951,114,654,,Sold,,,http://www.redfin.com/CA/Danville/359-Verona-Ave-94526/home/1940343,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40910753,N,Y,37.8227895,-122.0055337
PAST SALE,September-21-2020,Single Family Residential,412 Veda Dr,Danville,CA,94526,1410000,3,1,Westside,9999,10000,1952,73,141,,Sold,,,http://www.redfin.com/CA/Danville/412-Veda-Dr-94526/home/646330,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40918643,N,Y,37.8237124,-122.0075991
PAST SALE,August-14-2020,Single Family Residential,16 Hilferd Way,Danville,CA,94526,4075000,5,3.5,Danville,5284,289438,1991,111,771,96,Sold,,,http://www.redfin.com/CA/Danville/16-Hilferd-Way-94526/home/911463,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40910233,N,Y,37.818449,-122.024087
PAST SALE,October-14-2020,Single Family Residential,355 Del Amigo Rd,Danville,CA,94526,1920000,4,2,Westside,2219,20910,1968,50,865,,Sold,,,http://www.redfin.com/CA/Danville/355-Del-Amigo-Rd-94526/home/1276807,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40919258,N,Y,37.8238785,-122.0166594
PAST SALE,October-9-2020,Single Family Residential,106 Whispering Trees Ln,Danville,CA,94526,3025000,5,3,Westside Danvill,3513,34844,1969,55,861,,Sold,,,http://www.redfin.com/CA/Danville/106-Whispering-Trees-Ln-94526/home/912583,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40923665,N,Y,37.8236615,-122.0147275
PAST SALE,August-5-2020,Single Family Residential,318 Cordell Dr,Danville,CA,94526,2700000,4,4,Westside Danvill,3504,24829,1956,120,771,,Sold,,,http://www.redfin.com/CA/Danville/318-Cordell-Dr-94526/home/1442738,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40909013,N,Y,37.8291362,-122.0172811
