Rank,Median Household Income,Zip , Population
326,84620,91775 ,"25,395"
327,84588,90293 ,"11,997"
328,84537,90732 ,"19,810"
329,84516,90212 ,"12,415"
330,84488,94110 ,"71,422"
331,84250,92678 ,427
332,84133,95650 ,"12,255"
333,84051,90630 ,"48,844"
334,84021,91006 ,"32,392"
335,84004,90245 ,"16,839"
336,83974,93063 ,"56,687"
337,83902,95003 ,"24,383"
338,83767,90623 ,"15,767"
339,83638,94945 ,"17,973"
340,83542,94158 ,"5,530"
341,83467,95864 ,"22,698"
342,83269,92210 ,"4,839"
343,83194,93465 ,"9,652"
344,83038,93035 ,"26,966"
345,82993,94118 ,"40,102"
346,82917,93605 ,201
347,82857,92662 ,"3,018"
348,82748,95020 ,"59,666"
349,82675,92705 ,"46,163"
350,82564,94587 ,"71,675"
351,82313,90505 ,"37,381"
352,82076,91387 ,"42,518"
353,82005,92708 ,"57,441"
354,81980,94954 ,"36,624"
355,81973,92106 ,"19,539"
356,81918,94503 ,"20,116"
357,81907,94061 ,"37,667"
358,81879,94947 ,"25,969"
359,81860,95688 ,"35,820"
360,81788,94574 ,"9,300"
361,81746,94706 ,"20,206"
362,81685,94523 ,"34,428"
363,81667,94525 ,"3,151"
364,81622,94038 ,"3,435"
365,81471,95618 ,"27,222"
366,81379,91901 ,"18,184"
367,81369,94066 ,"42,100"
368,81328,96073 ,"4,502"
369,81308,93105 ,"24,967"
370,81250,91741 ,"25,678"
371,81093,95492 ,"29,629"
372,81025,90291 ,"27,803"
373,80729,92384 ,34
374,80625,92124 ,"30,196"
375,80479,91030 ,"25,914"
376,80449,95835 ,"39,073"
377,80341,94104 ,223
378,80327,94542 ,"12,498"
379,80313,96106 ,275
380,80288,93962 ,939
381,80279,91311 ,"37,769"
382,80278,90620 ,"45,992"
383,80233,94005 ,"4,421"
383,80233,95624 ,"63,131"
385,80163,92821 ,"37,580"
386,80133,95073 ,"10,849"
387,80132,92626 ,"51,575"
388,80130,92377 ,"19,750"
389,80037,92870 ,"53,474"
390,79895,92120 ,"25,365"
391,79858,90638 ,"49,543"
392,79525,90815 ,"40,572"
393,79485,94963 ,461
394,79457,95372 ,"1,969"
395,79348,92082 ,"19,825"
396,79327,95664 ,"1,135"
397,79121,95693 ,"5,943"
398,78856,94596 ,"20,778"
399,78756,90405 ,"28,535"
400,78750,96061 ,19
401,78676,94619 ,"24,146"
402,78640,95304 ,"17,971"
403,78630,92561 ,"1,600"
404,78607,90069 ,"20,426"
405,78564,94015 ,"62,941"
406,78558,95251 ,874
407,78501,91773 ,"33,869"
408,78378,94080 ,"66,002"
409,78175,90712 ,"32,015"
410,78116,92506 ,"45,993"
411,78114,95452 ,"1,314"
412,78082,90045 ,"41,453"
413,78072,92867 ,"44,569"
414,77930,93611 ,"48,597"
415,77706,94561 ,"38,481"
416,77679,91505 ,"31,133"
416,77679,93424 ,853
418,77583,95918 ,"1,805"
419,77416,95682 ,"29,972"
420,77361,92065 ,"36,039"
421,77305,94923 ,736
422,77250,93928 ,362
423,77247,91344 ,"53,165"
424,77188,95699 ,148
425,77152,91367 ,"42,029"
426,77105,92563 ,"57,605"
427,77092,93720 ,"46,153"
428,77047,90503 ,"45,518"
429,76994,91701 ,"40,822"
430,76912,91750 ,"33,969"
431,76909,94901 ,"42,027"
432,76688,90056 ,"8,380"
433,76669,94553 ,"48,891"
434,76542,95236 ,"3,829"
435,76526,92251 ,"22,348"
436,76447,91745 ,"55,237"
437,76389,95722 ,"4,524"
438,76232,94803 ,"25,998"
439,76027,93004 ,"30,417"
440,75928,92584 ,"46,346"
441,75915,93110 ,"17,321"
442,75862,93067 ,641
443,75750,95637 ,694
444,75714,95697 ,554
445,75671,91423 ,"32,130"
446,75556,95639 ,311
447,75510,95006 ,"9,162"
448,75500,94546 ,"43,448"
449,75481,94579 ,"21,842"
450,75448,92562 ,"63,293"
451,75420,91724 ,"25,405"
452,75411,92672 ,"35,041"
453,75380,93066 ,"3,179"
454,75334,91403 ,"24,353"
455,75327,90035 ,"31,399"
456,75309,95219 ,"28,354"
457,75300,95366 ,"16,734"
458,75221,94952 ,"35,081"
459,75180,90504 ,"32,777"
460,75172,96161 ,"18,475"
461,75163,95625 ,200
462,75160,93636 ,"11,919"
463,75031,90746 ,"26,738"
464,74797,92019 ,"44,357"
465,74637,92647 ,"59,741"
466,74583,95674 ,922
467,74530,95829 ,"25,786"
468,74393,92071 ,"55,362"
469,74283,94564 ,"18,704"
470,74009,94949 ,"16,386"
471,73870,94591 ,"54,530"
472,73850,94610 ,"29,734"
473,73786,90230 ,"33,090"
474,73684,95687 ,"65,781"
475,73621,94924 ,"1,434"
476,73542,95439 ,566
477,73433,93022 ,"7,069"
478,73373,90068 ,"21,943"
479,73352,92555 ,"40,419"
480,73333,95002 ,"1,660"
481,73125,95429 ,77
482,73040,94518 ,"26,647"
483,72939,95368 ,"14,474"
484,72913,90048 ,"22,409"
485,72877,95126 ,"34,618"
