property_type,zipcode,price,beds,baths,sqft,lot_size,days_on_market,price_per_sqft,hoa_month,property_age,school_rating,school_count,median_income,hotness_score,supply_score,demand_score,university_count,barts,malls,universities,bedBath,AvgRoomSize
0,94566,1300000,4,2,1964,11700,22,662,0.0,47,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,327.333
1,94566,549999,2,2,878,0,4,626,425.0,32,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,219.5
2,94566,690000,2,2,941,2003,120,733,450.0,50,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,235.25
0,94566,1830000,5,4,3271,6879,16,559,97.0,21,8,9,126782,80.07,79.57,80.57,0,0,1,0,20,363.444
0,94566,1350000,4,2,1854,7385,9,728,0.0,56,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,309.0
2,94588,785000,2,2,1501,2164,149,523,415.0,30,9,6,134451,85.91,87.06,84.76,0,1,1,0,4,375.25
2,94588,708000,2,2,1064,1631,1,665,239.0,24,9,6,134451,85.91,87.06,84.76,0,1,1,0,4,266.0
0,94588,1400000,3,2,2520,6475,28,556,380.0,26,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,504.0
1,94588,458000,2,1,810,0,73,565,350.0,49,9,6,134451,85.91,87.06,84.76,0,1,1,0,2,270.0
2,94566,618000,2,2,1198,1109,123,516,440.0,36,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,299.5
0,94588,1350000,4,2,2131,4993,4,634,75.0,24,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,355.167
0,94566,1060000,3,2,1496,8000,140,709,0.0,64,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,299.2
0,94566,1150000,3,2,2004,7500,100,574,0.0,64,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,400.8
0,94566,910000,3,2,1075,4070,165,847,109.0,27,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,215.0
0,94566,858000,3,2,1159,6500,168,740,0.0,57,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,231.8
0,94566,934000,3,2,1236,6500,119,756,0.0,56,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,247.2
0,94568,1005000,4,4,2282,1686,93,440,215.0,4,8,11,119637,83.72,94.25,73.19,0,1,0,0,16,285.25
0,94566,1875000,4,3,3050,12249,157,615,0.0,32,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,435.714
0,94568,1230000,4,4,3015,2975,150,408,250.0,4,8,11,119637,83.72,94.25,73.19,0,1,0,0,16,376.875
0,94566,1450000,4,3,2747,13789,108,528,0.0,57,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,392.429
0,94566,870000,4,3,1912,2152,95,455,0.0,5,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,273.143
0,94566,1250000,4,2,2110,7377,71,592,0.0,27,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,351.667
0,94566,1015000,4,2,2050,8125,164,495,0.0,49,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,341.667
2,94588,887000,3,2,1640,2695,157,541,210.0,23,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,328.0
0,94566,970000,3,2,1610,6914,161,602,0.0,60,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,322.0
0,94566,941000,3,2,1246,3486,85,755,0.0,45,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,249.2
0,94566,890000,4,2,1822,6014,163,488,0.0,67,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,303.667
0,94566,910000,3,2,1075,4028,105,847,109.0,26,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,215.0
2,94588,530000,3,2,1130,901,91,469,285.0,50,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,226.0
0,94566,1305000,4,2,2012,9054,129,649,0.0,55,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,335.333
0,94588,990000,3,2,1555,7000,119,637,0.0,52,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,311.0
0,94566,612500,3,3,1950,7338,111,314,0.0,52,8,9,126782,80.07,79.57,80.57,0,0,1,0,9,325.0
0,94566,1390000,4,2,2024,6825,127,687,0.0,53,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,337.333
0,94566,1350000,4,3,2344,6736,46,576,0.0,56,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,334.857
1,94566,660000,2,2,964,0,58,685,250.0,34,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,241.0
0,94566,1200000,4,3,2124,8915,108,565,0.0,50,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,303.429
0,94566,1625000,5,4,3289,8217,168,494,98.0,20,8,9,126782,80.07,79.57,80.57,0,0,1,0,20,365.444
0,94588,800000,2,2,930,3549,91,860,15.0,37,9,6,134451,85.91,87.06,84.76,0,1,1,0,4,232.5
0,94566,990000,4,2,1737,8532,175,570,0.0,56,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,289.5
