address,property_type,zipcode,price,beds,baths,sqft,lot_size,days_on_market,price_per_sqft,hoa_month,lat,long,property_age,school_rating,school_count,bart_count,median_income,hotness_score,supply_score,demand_score,malls_count,university_count
"21203 birch st, hayward, ca 94541",Single Family Residential,94541,765000,2,2,1488,8760,123,514,0.0,37.6842782,-122.0966595,68,3,12,1,60963,87.8,85.92,89.68,1,2
"291 medford ave, hayward, ca 94541",Single Family Residential,94541,553000,2,1,872,4850,16,634,0.0,37.6808623,-122.1082529,101,3,12,1,60963,87.8,85.92,89.68,1,2
"1540 170th ave, hayward, ca 94541",Single Family Residential,94541,668000,2,1,942,5500,72,709,0.0,37.6916575,-122.1055127,80,3,12,1,60963,87.8,85.92,89.68,1,2
"29 country club dr, hayward, ca 94542",Single Family Residential,94542,1960000,5,5,4657,7360,111,421,0.0,37.6503098,-122.01204479999998,5,4,1,0,84584,89.03,87.43,90.63,1,2
"138 sonas dr, hayward, ca 94542",Single Family Residential,94542,1350000,4,4,3220,7921,24,419,190.0,37.6499821,-122.0075255,7,4,1,0,84584,89.03,87.43,90.63,1,2
"26 sonas pl, hayward, ca 94542",Single Family Residential,94542,1459000,4,4,4142,6732,91,352,190.0,37.652336,-122.0093756,7,4,1,0,84584,89.03,87.43,90.63,1,2
"72 benmore, hayward, ca 94542",Single Family Residential,94542,1410000,4,4,3220,6751,32,438,190.0,37.6531863,-122.0090068,8,4,1,0,84584,89.03,87.43,90.63,1,2
"29 tullach pl, hayward, ca 94542",Single Family Residential,94542,1500000,4,4,3459,5893,17,434,190.0,37.651302,-122.008341,9,4,1,0,84584,89.03,87.43,90.63,1,2
"713 canonbury way #296, hayward, ca 94544",Condo/Co-op,94544,464000,2,2,878,6098,15,528,409.0,37.6334325,-122.044271,33,3,12,1,62863,84.1,89.19,79.0,1,2
"24252 nora cir, hayward, ca 94545",Single Family Residential,94545,900000,4,4,1824,3263,98,493,139.0,37.6472946,-122.1139594,3,5,8,0,75524,96.3,95.79,96.82,1,2
"24717 calaroga ave, hayward, ca 94545",Single Family Residential,94545,750000,3,2,1215,7176,59,617,0.0,37.6483881,-122.1019626,62,5,8,0,75524,96.3,95.79,96.82,1,2
"27650 calaroga ave, hayward, ca 94545",Single Family Residential,94545,680000,3,2,1119,5300,136,608,0.0,37.6279729,-122.0895365,66,5,8,0,75524,96.3,95.79,96.82,1,2
"27629 gainesville ave, hayward, ca 94545",Single Family Residential,94545,790000,3,2,1119,5300,164,706,0.0,37.62818239999999,-122.0918665,66,5,8,0,75524,96.3,95.79,96.82,1,2
"2808 oliver dr, hayward, ca 94545",Townhouse,94545,555000,3,2,1254,946,42,443,268.0,37.628713,-122.1006868,50,5,8,0,75524,96.3,95.79,96.82,1,2
"32444 mohican st, hayward, ca 94544",Single Family Residential,94544,655000,3,1,1200,5000,46,546,0.0,37.60995870000001,-122.02898290000002,70,3,12,1,62863,84.1,89.19,79.0,1,2
"2973 sunnybank ln, hayward, ca 94541",Single Family Residential,94541,870000,3,2,2181,6000,101,399,0.0,37.6777791,-122.0513614,33,3,12,1,60963,87.8,85.92,89.68,1,2
"25912 hayward blvd #208, hayward, ca 94542",Condo/Co-op,94542,490000,2,2,1203,0,98,407,462.0,37.6599294,-122.0529153,38,4,1,0,84584,89.03,87.43,90.63,1,2
"11 lance way, hayward, ca 94544",Single Family Residential,94544,784000,3,2,1658,4626,155,473,0.0,37.6316531,-122.0591307,22,3,12,1,62863,84.1,89.19,79.0,1,2
"26441 mockingbird ln, hayward, ca 94544",Single Family Residential,94544,675000,3,1,1056,7812,25,639,0.0,37.6407368,-122.0871398,69,3,12,1,62863,84.1,89.19,79.0,1,2
"25595 compton ct #102, hayward, ca 94544",Condo/Co-op,94544,478000,2,1,1040,5760,49,460,400.0,37.649152,-122.082425,31,3,12,1,62863,84.1,89.19,79.0,1,2
"27730 la porte ave, hayward, ca 94545",Single Family Residential,94545,705007,3,2,1264,5000,84,558,0.0,37.6273098,-122.0829678,66,5,8,0,75524,96.3,95.79,96.82,1,2
"32783 sumac st, union city, ca 94587",Single Family Residential,94587,515000,3,2,1425,6370,111,361,0.0,37.6081591,-122.0280059,56,6,10,1,86939,78.51,87.09,69.94,0,0
"31142 oakhill way, hayward, ca 94544",Single Family Residential,94544,650000,3,2,1092,5005,128,595,0.0,37.61703710000001,-122.0400839,66,3,12,1,62863,84.1,89.19,79.0,1,2
"1278 inglewood st, hayward, ca 94544",Single Family Residential,94544,695000,3,1,1034,5035,81,672,0.0,37.6393612,-122.08625220000002,69,3,12,1,62863,84.1,89.19,79.0,1,2
"27661 orlando ave, hayward, ca 94545",Single Family Residential,94545,670000,3,2,1119,5300,80,599,0.0,37.6288278,-122.0836335,66,5,8,0,75524,96.3,95.79,96.82,1,2
"942 cottonwood ave, hayward, ca 94541",Single Family Residential,94541,610000,3,1,1026,4998,168,595,0.0,37.65713710000001,-122.1110595,70,3,12,1,60963,87.8,85.92,89.68,1,2
"17505 tallac way, hayward, ca 94541",Single Family Residential,94541,650000,2,1,1070,6750,108,607,0.0,37.6824525,-122.1165172,70,3,12,1,60963,87.8,85.92,89.68,1,2
"260 sunset blvd #33, hayward, ca 94541",Condo/Co-op,94541,410000,2,2,926,0,15,443,330.0,37.673386,-122.1014118,40,3,12,1,60963,87.8,85.92,89.68,1,2
"20919 locust st unit h, hayward, ca 94541",Condo/Co-op,94541,445000,2,2,1101,0,4,404,452.0,37.685745,-122.096247,41,3,12,1,60963,87.8,85.92,89.68,1,2
"23948 madeiros ave, hayward, ca 94541",Single Family Residential,94541,830000,2,2,1608,10000,10,516,0.0,37.6780412,-122.056356,67,3,12,1,60963,87.8,85.92,89.68,1,2
"2028 oak creek pl, hayward, ca 94541",Townhouse,94541,600000,2,2,1542,963,2,389,423.0,37.673574,-122.056959,49,3,12,1,60963,87.8,85.92,89.68,1,2
"3250 oakes, hayward, ca 94542",Single Family Residential,94542,930000,3,2,1767,11200,1,526,31.0,37.6633268,-122.0435472,60,4,1,0,84584,89.03,87.43,90.63,1,2
"800 old oak ln #1, hayward, ca 94541",Townhouse,94541,715000,4,2,1612,1549,52,444,224.0,37.6649599,-122.0990219,10,3,12,1,60963,87.8,85.92,89.68,1,2
"2014 continental ave, hayward, ca 94545",Single Family Residential,94545,620000,3,3,1826,3500,111,340,0.0,37.6428428,-122.11574070000002,30,5,8,0,75524,96.3,95.79,96.82,1,2
"21109 gary dr #101, hayward, ca 94546",Condo/Co-op,94546,645000,3,2,1218,0,50,530,443.0,37.6883281,-122.09201000000002,40,7,12,1,79501,88.15,83.57,92.74,1,2
"108 montevina way, hayward, ca 94545",Single Family Residential,94545,750000,3,4,1854,2065,111,405,0.0,37.647473,-122.115874,11,5,8,0,75524,96.3,95.79,96.82,1,2
"22743 bayview ave, hayward, ca 94541",Single Family Residential,94541,686000,2,2,1114,5666,134,616,0.0,37.6855504,-122.0597522,96,3,12,1,60963,87.8,85.92,89.68,1,2
"1292 ash st, hayward, ca 94541",Single Family Residential,94541,495000,2,2,1368,7950,111,362,0.0,37.6855728,-122.09503970000002,75,3,12,1,60963,87.8,85.92,89.68,1,2
"1318 b st #310, hayward, ca 94541",Condo/Co-op,94541,548000,3,2,1265,0,111,433,0.0,37.67734420000001,-122.0775866,37,3,12,1,60963,87.8,85.92,89.68,1,2
"27111 manon ave, hayward, ca 94544",Single Family Residential,94544,763000,4,2,1818,8184,1,420,0.0,37.6387814,-122.0726257,67,3,12,1,62863,84.1,89.19,79.0,1,2
"27787 orlando ave, hayward, ca 94545",Single Family Residential,94545,660000,3,2,1000,5000,14,660,0.0,37.6263884,-122.0818138,66,5,8,0,75524,96.3,95.79,96.82,1,2
"2527 spindrift cir, hayward, ca 94545",Single Family Residential,94545,1300000,5,3,3228,6321,128,403,35.0,37.607218,-122.0896696,16,5,8,0,75524,96.3,95.79,96.82,1,2
"263 sullivan way, hayward, ca 94541",Condo/Co-op,94541,715000,3,2,1726,0,86,414,225.0,37.6641099,-122.0955772,10,3,12,1,60963,87.8,85.92,89.68,1,2
"23000 avis ln, hayward, ca 94541",Single Family Residential,94541,600000,3,2,1360,963,168,441,400.0,37.68118920000001,-122.0609509,44,3,12,1,60963,87.8,85.92,89.68,1,2
"1252 gomer st, hayward, ca 94544",Single Family Residential,94544,700000,3,2,1200,5225,85,583,0.0,37.6355974,-122.0823908,65,3,12,1,62863,84.1,89.19,79.0,1,2
"1753 finch ct, hayward, ca 94545",Single Family Residential,94545,700000,3,1,1064,5676,43,658,0.0,37.6217321,-122.0787956,56,5,8,0,75524,96.3,95.79,96.82,1,2
"635 janice ave, hayward, ca 94544",Single Family Residential,94544,780000,3,2,1371,7750,155,569,0.0,37.6220109,-122.0344003,66,3,12,1,62863,84.1,89.19,79.0,1,2
"27671 pompano ave, hayward, ca 94544",Single Family Residential,94544,680000,3,2,1000,5000,51,680,0.0,37.62965850000001,-122.07768590000002,67,3,12,1,62863,84.1,89.19,79.0,1,2
"24480 edith st, hayward, ca 94544",Single Family Residential,94544,605000,2,1,853,5000,111,709,0.0,37.6634388,-122.0775971,71,3,12,1,62863,84.1,89.19,79.0,1,2
"2013 jubilee dr, hayward, ca 94541",Townhouse,94541,780000,4,4,1716,0,51,455,217.0,37.6650922,-122.0948178,4,3,12,1,60963,87.8,85.92,89.68,1,2
"135 hermes ct, hayward, ca 94544",Single Family Residential,94544,655000,3,1,1032,7322,25,635,0.0,37.6506974,-122.0802381,70,3,12,1,62863,84.1,89.19,79.0,1,2
"809 pinedale, hayward, ca 94544",Single Family Residential,94544,795000,3,2,1721,5000,99,462,0.0,37.664882,-122.078731,93,3,12,1,62863,84.1,89.19,79.0,1,2
"976 saint james ct, hayward, ca 94541",Single Family Residential,94541,685000,3,2,1213,3440,70,565,0.0,37.6833533,-122.0984457,95,3,12,1,60963,87.8,85.92,89.68,1,2
"610 moss way, hayward, ca 94541",Townhouse,94541,750000,3,2,1726,0,164,435,225.0,37.66172720000001,-122.0936416,9,3,12,1,60963,87.8,85.92,89.68,1,2
"2120 oak creek pl, hayward, ca 94541",Townhouse,94541,630000,2,2,1590,952,35,396,414.0,37.673411,-122.057645,49,3,12,1,60963,87.8,85.92,89.68,1,2
"24143 dover ln, hayward, ca 94541",Townhouse,94541,535888,2,2,1208,712,42,444,369.0,37.674129,-122.066424,43,3,12,1,60963,87.8,85.92,89.68,1,2
"25386 2nd st, hayward, ca 94541",Single Family Residential,94541,775000,2,1,1034,10800,11,750,0.0,37.6686933,-122.0521162,74,3,12,1,60963,87.8,85.92,89.68,1,2
"2271 gibbons st, hayward, ca 94541",Townhouse,94541,809000,4,4,1982,0,79,408,225.0,37.6615979,-122.09265390000002,7,3,12,1,60963,87.8,85.92,89.68,1,2
"1137 tiegen dr, hayward, ca 94542",Single Family Residential,94542,675000,3,2,1049,5400,15,643,0.0,37.6660325,-122.0724925,73,4,1,0,84584,89.03,87.43,90.63,1,2
"26451 montana way, hayward, ca 94544",Single Family Residential,94544,740000,4,2,1922,7956,111,385,0.0,37.6438584,-122.0768425,67,3,12,1,62863,84.1,89.19,79.0,1,2
"26271 underwood ave, hayward, ca 94544",Single Family Residential,94544,649000,3,2,1685,5035,172,385,0.0,37.6432682,-122.0837223,69,3,12,1,62863,84.1,89.19,79.0,1,2
"720 grand ter, hayward, ca 94541",Townhouse,94541,585000,2,2,1170,1190,57,500,298.0,37.6671912,-122.0862736,18,3,12,1,60963,87.8,85.92,89.68,1,2
"642 dean st unit a, hayward, ca 94541",Condo/Co-op,94541,422000,2,1,832,9434,42,507,0.0,37.6658191,-122.0852757,55,3,12,1,60963,87.8,85.92,89.68,1,2
"22679 valley view dr, hayward, ca 94541",Single Family Residential,94541,650000,4,2,1863,6290,154,349,0.0,37.6893403,-122.0484756,67,3,12,1,60963,87.8,85.92,89.68,1,2
"3256 monika ln, hayward, ca 94541",Townhouse,94541,665000,3,2,1720,1124,11,387,401.0,37.6894631,-122.0524492,41,3,12,1,60963,87.8,85.92,89.68,1,2
"27525 stromberg ct, hayward, ca 94545",Condo/Co-op,94545,526000,4,2,1474,1210,126,357,268.0,37.625839,-122.097216,51,5,8,0,75524,96.3,95.79,96.82,1,2
"1260 radcliff ln, hayward, ca 94545",Single Family Residential,94545,764000,3,2,1276,5500,102,599,0.0,37.6423703,-122.0970367,63,5,8,0,75524,96.3,95.79,96.82,1,2
"25000 copa del oro dr #203, hayward, ca 94545",Condo/Co-op,94545,350000,1,1,608,0,158,576,282.0,37.6445791,-122.1024006,35,5,8,0,75524,96.3,95.79,96.82,1,2
"25438 lindenwood way, hayward, ca 94545",Single Family Residential,94545,658000,3,2,1276,5800,84,516,0.0,37.6435531,-122.0954169,63,5,8,0,75524,96.3,95.79,96.82,1,2
"1256 stanhope ln #154, hayward, ca 94545",Condo/Co-op,94545,485000,2,2,1007,0,102,482,455.0,37.6413334,-122.0965577,32,5,8,0,75524,96.3,95.79,96.82,1,2
"27891 norwich way, hayward, ca 94545",Single Family Residential,94545,658000,3,2,1000,5100,43,658,0.0,37.625057700000006,-122.0858711,66,5,8,0,75524,96.3,95.79,96.82,1,2
"25938 kay #313, hayward, ca 94545",Condo/Co-op,94545,400000,1,1,840,0,142,476,455.0,37.6400785,-122.09728490000002,32,5,8,0,75524,96.3,95.79,96.82,1,2
"1235 homestead ln, hayward, ca 94545",Single Family Residential,94545,750000,3,2,1285,5170,112,584,0.0,37.64146470000001,-122.0929982,65,5,8,0,75524,96.3,95.79,96.82,1,2
"25850 kay ave #128, hayward, ca 94545",Condo/Co-op,94545,450000,2,2,1007,0,21,447,455.0,37.6410227,-122.0972928,32,5,8,0,75524,96.3,95.79,96.82,1,2
"25199 meredith ct, hayward, ca 94545",Single Family Residential,94545,836000,3,2,1359,5320,77,615,0.0,37.644506,-122.1012082,62,5,8,0,75524,96.3,95.79,96.82,1,2
"27480 bahama ave, hayward, ca 94545",Single Family Residential,94545,715000,3,2,1128,5300,3,634,0.0,37.6272999,-122.1011861,64,5,8,0,75524,96.3,95.79,96.82,1,2
"26276 coventry ln, hayward, ca 94545",Single Family Residential,94545,805000,4,2,1511,5040,72,533,0.0,37.6374894,-122.1035158,60,5,8,0,75524,96.3,95.79,96.82,1,2
"425 fairway st, hayward, ca 94544",Single Family Residential,94544,740000,3,2,1134,5187,177,653,0.0,37.6213722,-122.0391071,66,3,12,1,62863,84.1,89.19,79.0,1,2
"612 chevy chase way, hayward, ca 94544",Single Family Residential,94544,749000,3,2,1540,5850,169,486,0.0,37.6271783,-122.0415492,63,3,12,1,62863,84.1,89.19,79.0,1,2
"29588 vanderbilt st #313, hayward, ca 94544",Condo/Co-op,94544,450000,2,2,878,0,85,513,403.0,37.6316615,-122.0450165,33,3,12,1,62863,84.1,89.19,79.0,1,2
"29462 dixon st, hayward, ca 94544",Condo/Co-op,94544,797561,4,4,2001,0,142,399,407.0,37.63250900000001,-122.049652,2,3,12,1,62863,84.1,89.19,79.0,1,2
"613 chevy chase way, hayward, ca 94544",Single Family Residential,94544,830000,3,2,1392,5865,32,596,0.0,37.6269626,-122.0411496,63,3,12,1,62863,84.1,89.19,79.0,1,2
"31562 greenbrier ln, hayward, ca 94544",Single Family Residential,94544,810000,3,2,1233,5005,86,657,0.0,37.6157788,-122.0337343,66,3,12,1,62863,84.1,89.19,79.0,1,2
"28040 ziele creek dr, hayward, ca 94542",Single Family Residential,94542,750000,4,3,1826,4750,111,411,0.0,37.6482518,-122.0388851,33,4,1,0,84584,89.03,87.43,90.63,1,2
